object,formula_or_rule,status,max_abs_error,mismatch_rows,evidence_boundary
public_support_z,(public_hourly_surface_observation_support - panel mean) / panel population SD,PASS,6.661338147750939e-16,0.0,"Exactly reconstructible from the released 114,220-row panel."
need_composite,(demand_proxy_v2 + weather_hazard_proxy + urban_form_complexity_proxy) / 3,PASS,2.220446049250313e-16,0.0,Equal-weight arithmetic mean of the three released proxy fields.
need_composite_z,(need_composite - panel mean) / panel population SD,PASS,1.1102230246251563e-15,0.0,Exactly reconstructible from the released panel.
availability/completeness ratio alias,public_hourly_availability_ratio == station_universe_completeness_ratio in current export,PASS,0.0,0.0,The two columns are aliases in this export and must not be counted as independent evidence dimensions.
denominator_uncertainty_flag,is missing(station_universe_completeness_ratio) OR ratio < 1,PASS,0.0,0.0,Exactly reconstructible; ratio = 1 defines denominator-certain rows.
support_residual_z,public_support_z - expected_public_support_z,PASS,9.992007221626409e-16,0.0,Exactly reconstructible once the released expected-support field is accepted.
residual_public_observability_deficit,-support_residual_z,PASS,0.0,0.0,Sign reversal used for intuitive higher-is-worse mapping.
legacy_panel_calibrated_residual_deficit_q75,need_composite_z >= panel q75 (0.612153683741) AND support_residual_z <= panel q25 (-0.68003099004),PASS,0.0,0.0,Exactly reconstructible legacy panel-calibrated flag retained for provenance; not the canonical 2024-calibrated main screen.
legacy_panel_calibrated_residual_deficit_q90,need_composite_z >= panel q90 (1.3676108627) AND support_residual_z <= panel q10 (-1.11259352662),PASS,0.0,0.0,Exactly reconstructible legacy panel-calibrated flag retained for provenance; not the canonical 2024-calibrated main screen.
legacy_panel_calibrated_residual_deficit_q95,need_composite_z >= panel q95 (1.84329266804) AND support_residual_z <= panel q05 (-1.33889011361),PASS,0.0,0.0,Exactly reconstructible legacy panel-calibrated flag retained for provenance; not the canonical 2024-calibrated main screen.
public_hourly_surface_observation_support,Precomputed upstream normalized support index S_it,BOUNDARY,,,The released package provides S_it and its audit fields but not the licensed raw station-hour archive or the complete upstream raw-record construction pipeline; raw-record reconstruction requires reacquisition.
expected_public_support_z raw-model reconstruction,Precomputed expected-support field used by the primary residual screen,BOUNDARY,,,"The released gdp_density_score and model-diagnostic standardized control columns are blank, so the exact upstream expected-support fit cannot be refitted from this derived export. Residuals and flags remain exactly auditable as released derived objects, and alternative model-form sensitivity is supplied separately."
canonical_2024_q75,need_composite_z >= 2024 q75 (0.58911195336) AND support_residual_z <= 2024 q25 (-0.722036465118),PASS,0.0,0.0,Canonical main screen; 651 components in 2024 and fixed thresholds applied to annual stability audits.
canonical_2024_q90,need_composite_z >= 2024 q90 (1.34559461094) AND support_residual_z <= 2024 q10 (-1.12621331531),PASS,0.0,0.0,Canonical strict sensitivity screen using fixed 2024 thresholds.
canonical_2024_q95,need_composite_z >= 2024 q95 (1.80982039175) AND support_residual_z <= 2024 q05 (-1.38173343838),PASS,0.0,0.0,Canonical strict sensitivity screen using fixed 2024 thresholds.
available-field expected-support refit (2024 canonical),OLS: public_support_z ~ need + population + airport + official station density + coast; controls z-standardized in 2024; same need q75 and model-specific residual q25,PASS_SENSITIVITY,,,R2=0.285064; retained n=723; shared with canonical primary=615; Jaccard=0.810.
within-between expected-support sensitivity (2024),Mundlak OLS with within-country deviations and country means for need and all available controls; same need q75 and model-specific residual q25,PASS_SENSITIVITY,,,R2=0.358375; within-country need slope=-0.064; between-country need slope=0.421; shared=553.
