figure_id,panel,role,source_type,source_file,status
Figure_1,a,global canonical 2024 component map,figure-ready table,figure_ready_source_data_Fig1_global_map.csv,PASS
Figure_1,b,country retained-component ranking,derived table,Figure_Tables/Fig1_panel_b_country_counts.csv,PASS
Figure_1,c,country cumulative concentration,derived table,Figure_Tables/Fig1_panel_c_country_concentration.csv,PASS
Figure_2,a,2024 need-support decile scaling,derived table,Figure_Tables/Fig2_panel_a_need_support_deciles.csv,PASS
Figure_2,b,2024 residual-gap distribution and retained subset,derived table,Figure_Tables/Fig2_panel_b_residual_distribution_summary.csv,PASS
Figure_2,c,2024 decision-plane sample,derived table,Figure_Tables/Fig2_panel_c_decision_plane_sample.csv,PASS
Figure_2,d,fixed-2024-threshold annual stability,derived table,Figure_Tables/Fig2_panel_d_annual_threshold_stability.csv,PASS
Figure_3,a,"q75-aligned main contrast at event-date, component and country levels",derived cluster table,Figure_Tables/Fig3_panel_a_cluster_levels.csv; event_q75_aligned_cluster_robustness.csv,PASS
Figure_3,b,q75-aligned placebo and false-event controls,derived table,Figure_Tables/Fig3_panel_b_controls.csv,PASS
Figure_3,c,q75-aligned leave-out stability,derived table,Figure_Tables/Fig3_panel_c_leaveout.csv,PASS
Figure_3,d,q75-aligned event stream by year and label,derived table,Figure_Tables/Fig3_panel_d_event_stream.csv,PASS
Figure_3,e,q75-aligned post-match balance,derived table,Figure_Tables/Fig3_panel_e_balance.csv,PASS
Figure_3,f,within-event permutation null,derived/permutation table,Figure_Tables/Fig3_panel_f_permutation.csv; event_q75_aligned_permutation_results.csv,PASS
Figure_4,a,fixed-size benchmark overlap and random null,derived table,Figure_Tables/Fig4_panel_a_benchmark_overlap_fixed_size.csv; benchmark_fixed_size_comparison_2024.csv; benchmark_random_null_iterations.csv,PASS
Figure_4,b,"pooled, within-country and between-country need coefficients",derived/model table,Figure_Tables/Fig4_panel_b_mundlak_coefficients.csv; country_within_between_model_summary_2024.csv; country_fixed_effect_model_summary_2024.csv,PASS
Figure_4,c,screen overlap under model and no-hazard sensitivities,derived table,Figure_Tables/Fig4_panel_c_sensitivity_overlap.csv; screen_sensitivity_overlap_2024.csv,PASS
Figure_4,d,"q75 selection frequency across 1,000 weight draws",derived/component table,Figure_Tables/Fig4_panel_d_selection_frequency.csv; component_screen_stability_2024.csv; selection_frequency_summary_2024.csv,PASS
Supplementary_Figure_1,a-d,"data universe, country coverage, canonical threshold persistence and denominator composition",source/derived tables,component_year_panel_full.csv; Figure_Tables/Fig2_panel_d_annual_threshold_stability.csv; panel_variance_decomposition.csv,PASS
Supplementary_Figure_2,a,proxy correlation matrix,derived table,Figure_Tables/Supplementary_Figure_2_corr.csv,PASS
Supplementary_Figure_2,b,proxy association with need composite,derived table,Figure_Tables/Supplementary_Figure_2_proxy_assoc.csv,PASS
Supplementary_Figure_2,c,canonical threshold stability,derived table,Figure_Tables/Fig2_panel_d_annual_threshold_stability.csv,PASS
Supplementary_Figure_2,d,need composite by denominator status,source table,component_year_panel_full.csv,PASS
Supplementary_Figure_3,a-b,prediction and residual diagnostics,source table,expected_support_model_diagnostics.csv,PASS
Supplementary_Figure_3,c,residuals by year,derived table,Figure_Tables/Supplementary_Figure_3_residual_by_year.csv,PASS
Supplementary_Figure_3,d,model-performance summary,derived table,Figure_Tables/Supplementary_Figure_3_model_performance.csv,PASS
Supplementary_Figure_4,a,legacy tie-permitting benchmark Jaccard matrix,derived table,Figure_Tables/Supplementary_Figure_4_jaccard.csv,PASS
Supplementary_Figure_4,b,legacy benchmark rank association,derived table,Figure_Tables/Supplementary_Figure_4_rank_assoc.csv,PASS
Supplementary_Figure_5,a-c,matching diagnostics for broader selected event stream,source/derived tables,Broader_Selected_Event_Stream/event_true_source_panel.csv; Broader_Selected_Event_Stream/event_matched_low_gap_controls.csv; Figure_Tables/Supplementary_Figure_5_exact_match.csv,PASS
Supplementary_Figure_5,d,broader-stream post-match balance,derived table,Figure_Tables/Supplementary_Figure_5_balance.csv,PASS
Supplementary_Figure_6,a,q75-aligned year-stratified GPM contrast,derived table,Figure_Tables/Supplementary_Figure_6_year_estimates.csv,PASS
Supplementary_Figure_6,b,q75-aligned country-stratified GPM contrast,derived table,Figure_Tables/Supplementary_Figure_6_country_estimates.csv,PASS
Supplementary_Figure_6,c,q75-aligned event-label GPM contrasts,derived table,Figure_Tables/Supplementary_Figure_6_hazard_estimates.csv,PASS
Supplementary_Figure_6,d,"event-date, component and country cluster estimates",derived cluster table,event_q75_aligned_cluster_robustness.csv,PASS
Supplementary_Figure_7,a-b,aligned placebo and false-event intervals,derived table,Figure_Tables/Fig3_panel_b_controls.csv,PASS
Supplementary_Figure_7,c,within-event permutation null,derived/permutation table,Figure_Tables/Fig3_panel_f_permutation.csv; event_q75_aligned_permutation_iterations.csv,PASS
Supplementary_Figure_7,d,covariate-adjusted dependence sensitivities,derived cluster table,event_q75_aligned_cluster_robustness.csv,PASS
Supplementary_Figure_8,a-b,canonical country concentration and leading contributions,canonical component table,canonical_2024_q75_components.csv; Figure_Tables/Supplementary_Figure_8_country_concentration.csv,PASS
Supplementary_Figure_8,c,coastal versus inland prevalence under leave-out scopes,source/derived tables,component_year_panel_full.csv; canonical_2024_screen_flags.csv; Figure_Tables/Supplementary_Figure_8_coastal_sensitivity.csv,PASS
Supplementary_Figure_8,d,denominator-certain and uncertain retained counts,source/derived tables,component_year_panel_full.csv; canonical_2024_screen_flags.csv; Figure_Tables/Supplementary_Figure_8_denominator.csv,PASS
Supplementary_Figure_9,a,staged service-use pathway and interpretation boundary,schematic support,Figures/supplementary_figure_captions.txt; CLAIM_LEDGER.md; PAPER_SPEC.md,PASS
Supplementary_Figure_10,a-f,canonical screen and conditional selected-stream robustness,canonical and robustness tables,component_screen_stability_2024.csv; screen_sensitivity_overlap_2024.csv; canonical_threshold_grid_2024.csv; Robustness_Tables_Reorganized_SI/Supplementary_Table_R6_conditional_event_robustness_current_selected_events.csv; event_stream_alignment_and_contrast_summary.csv,PASS
Supplementary_Figure_11,a,canonical 2024 threshold-grid retained share,canonical threshold table,canonical_threshold_grid_2024.csv,PASS
